,KQ[0],KQ[1],KQ[2],KQ[3],KQ[4],KQ[5],KQ[6],KQ[7],KQ[8],KQ[9],KQ[10],KQ[11],KQ[12],KQ[13],KQ[14],KQ[15],KQ[16],KQ[17],KQ[18],KQ[19],KQ[20],KQ[21],KQ[22],KQ[23],KQ[24],KQ[25],KQ[26]
11-05-2017,16161,39870,68431,67685,48526,29521,16628,42795,50325,87337,1571,3844,5718,2477,2680,3726,0071,1438,2579,7711,801,799,099,25,58,43,64
12-05-2017,08792,62799,37804,22903,29328,78510,00124,91634,39163,05578,4719,3202,8013,7723,5710,4397,7276,1943,8952,4123,702,923,449,92,12,71,95
13-05-2017,58255,20821,68070,01084,68912,20282,52719,48705,81592,09676,0326,3896,9853,3507,5653,7148,8608,7022,1683,8019,254,670,933,02,13,97,76
14-05-2017,30587,52515,00417,71005,38176,97016,98016,25949,18499,80022,3303,2041,5924,6620,8622,9839,1919,2130,0425,7917,493,911,219,44,69,39,34
15-05-2017,95749,95386,35952,86272,89532,68740,01644,82305,19536,58706,3896,6955,1594,1131,9571,2424,2107,2990,7389,1255,258,483,322,29,62,49,44
16-05-2017,99794,03794,05224,95679,63512,16388,91015,24384,81287,93770,3926,7461,1925,2810,9910,1193,5161,7847,7974,0371,738,750,694,88,71,09,90
17-05-2017,89370,73044,91392,78850,06858,03361,47744,93298,42624,39990,4773,8133,5864,2201,5540,2870,5563,9150,8172,5631,069,936,829,26,99,13,36
18-05-2017,35236,74548,23357,83721,58993,12639,74328,76510,08724,97274,5541,7539,2487,5535,6979,2775,5332,7431,6271,4145,697,869,680,39,94,84,17
19-05-2017,34080,68405,27402,17148,30510,37193,18985,83066,92922,74707,9135,0985,8338,9983,7839,5285,2399,8158,5992,4711,908,530,749,04,76,87,51
20-05-2017,43031,91600,74313,38685,36490,24469,14133,05289,86880,94252,3826,1064,6157,8290,9972,3814,1771,4850,3084,2110,203,375,443,05,45,07,80
21-05-2017,99377,68569,67289,72275,06258,47499,56831,16206,08266,68124,0902,3384,4844,1839,5215,2534,5563,2981,0763,7748,227,738,584,05,66,22,77
22-05-2017,82752,81454,63146,00144,93462,23280,01418,82746,76296,95429,1916,0828,9802,2425,4345,7138,6466,1878,1958,2515,131,163,933,27,62,19,30
23-05-2017,62307,04825,46590,55550,18902,26521,26692,05707,48312,21314,7636,7689,4706,1877,8635,4917,4502,1780,9908,5490,194,242,117,21,94,40,81
24-05-2017,31099,01518,28670,86299,79991,20733,87259,28344,74901,05516,9750,8213,2802,9871,0934,6364,5180,4270,7924,6609,977,671,638,23,41,67,83
25-05-2017,20369,12726,24512,13248,93976,36952,96482,32584,49607,46493,8009,8438,4929,1383,2677,2389,3382,1437,5181,0146,750,269,052,41,78,87,96
26-05-2017,56321,25895,54428,51448,17052,68193,19840,01536,61475,78514,6664,3676,6650,9079,4600,5347,5352,6102,2567,7972,309,035,164,09,59,80,68
27-05-2017,15355,80605,37167,55910,51611,05932,65166,69571,76118,05131,2263,4256,0186,9794,7680,9382,0554,4247,3845,7383,414,927,661,10,17,62,63
28-05-2017,25467,49874,21942,17808,19172,12795,44513,60911,00404,00217,3239,1693,6938,6717,7401,3367,6568,8654,8849,1403,543,589,377,82,97,78,53
29-05-2017,28444,62970,27747,83887,19825,09707,09934,84635,60991,42638,2237,8763,9737,1532,7985,5089,3502,4859,6547,4772,481,839,460,70,34,98,22
30-05-2017,59431,62264,19529,91706,42212,52807,68981,39571,64597,92204,1000,8339,0010,4054,7981,5617,8195,9506,1720,5192,261,107,351,14,75,25,80
